Linea,Color_Puerta,Modelo_Puerta,Precio_M2_Marco,Precio_M2_Puerta_Frente,Precio_M2_Mullion
LOFT,NOGAL TERRACOTA,046 NOGAL TERRACOTA,"1,243.90",ND,ND
LOFT,ASERRADO NORDICO,161 ASERRADO NORDICO,"1,243.90",ND,ND
LOFT,LINOSA CENIZA,048 LINOSA CENIZA,"1,243.90",ND,ND
LOFT,TEKA ARTICO,047 TEKA ARTICO,"1,243.90",ND,ND
LOFT,NOCCE MILANO,041 NOCCE MILANO,"1,243.90",ND,ND
LOFT,ROBLE AMERICANO,030 ROBLE AMERICANO,"1,243.90",ND,ND
LOFT,ROBLE DAKAR,031 ROBLE DAKAR,"1,243.90",ND,ND
LOFT,ROBLE PROVENZAL,027 ROBLE PROVENZAL,"1,243.90",ND,ND
LOFT,LOMBARDIA,081 LOMBARDÍA,"1,243.90",ND,ND
LOFT,CENDRA ESCANDINAVO,086 CENDRA ESCANDINAVO,"1,243.90",ND,ND
LOFT,TOSCANA,083 TOSCANA,"1,243.90",ND,ND
LOFT,SEDA GIORNO,150 SEDA GIORNO,"1,243.90",ND,ND
MADERA,BANAK CON ACABADO,CAOBA DORADO,"2,393.53","1,795.15","2,393.53"
MADERA,BANAK SIN ACABADO,SIN ACABADO,"1,991.35","1,493.52","1,991.35"
NATURE,CHAPA ENCINO,TRANSPARENTE,"2,062.00",ND,ND
NATURE,CHAPA MAPLE,TRANSPARENTE,"2,062.00",ND,ND
NATURE,CHAPA OKUME,CAOBA DORADO,"1,680.00",ND,ND
NATURE,CHAPA NOGAL,TRANSPARENTE,"2,731.00",ND,ND
LACA,FRANCIA,BLANCO BRILLANTE,"3,247.03","3,474.32","3,571.73"
LACA,VENECIA,BLANCO VIEJO BRILLANTE,"3,247.03","3,474.32","3,571.73"
LACA,CATEDRAL ALTO BRILLO,BLANCO BRILLANTE,"3,247.03","3,474.32","3,571.73"
LACA,BLANCO LISO MATE,BLANCO MATE,"3,024.91","3,236.65","3,327.40"
LACA ITALIA,VIENA,BLANCO BRILLANTE O MATE,"3,024.91","3,236.65","3,327.40"
LACA ITALIA,QUEBEC,NEGRO BRILLANTE O MATE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,MILAN,AZUL MARINO BRILLANTE O MATE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,CHESTER,CHOCOLATE MATE O BRILLANTE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,BEIGE,BEIGE BRILLANTE O MATE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,FERRARI,ROJO FERRARI BRILLANTE O MATE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,MONTANA,ROJO MONTANA BRILLANTE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,NAPOLES,NARANJA BRILLANTE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,VERDE LIMON,VERDE LIMON BRILLANTE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,GRIS,GRIS BRILLANTE O MATE,"3,470.65","3,713.61","3,817.72"
LACA ITALIA,CAPUCHINO,CAPUCHINO MATE O BRILLANTE,"3,470.65","3,713.61","3,817.72"
EUROPA 3D,SILVERY MATT PCEU3D-M999818,"3,373.81","3,914.74",ND,ND
EUROPA 3D,SHORE AZUL BRILLANTE PCEU3D-M22122HG,"1,844.10",ND,ND,ND
EUROPA 3D,CARDINAL HG ROJA BRILLANTE PCEU3D-M21065HG,"1,844.10",ND,ND,ND
EUROPA 3D,BLACK HG NEGRA BRILLANTE PCEU3D-M21066HG,"1,844.10",ND,ND,ND
EUROPA 3D,WHITE LILY HG BLANCA BRILLANTE PCEU3D-M21081HG,"1,844.10",ND,ND,ND
EUROPA 3D,SAFRON NARANJA BRILLANTE PCEU3D-M21024HG,"1,844.10",ND,ND,ND
